destination,time,goodput_mbps
server4,1.0,19.00544
server4,1.2,0.65536
server4,1.4,0.65536
server4,1.6,19.6608
server4,1.8,0.65536
server4,2.0,20.31616
server4,2.2,19.73696
server4,2.4,1.23456
server4,2.6,19.6608
server4,2.8,0.65536
server4,3.0,18.91104
server4,3.2,18.35008
server4,3.4,18.1184
server4,3.6,18.58176
server4,3.8,17.69472
server4,4.0,20.9136
server4,4.2,21.02944
server4,4.4,41.94304
server4,4.6,20.97152
server4,4.8,19.6608
server4,5.0,19.5664
server4,5.2,36.70016
server4,5.4,20.97152
server4,5.6,41.28768
server4,5.8,20.97152
server4,6.0,18.35008
server4,6.2,36.70016
server4,6.4,38.60832
server4,6.6,20.624
server4,6.8,42.15648
server4,7.0,41.6352
server4,7.2,20.97152
server4,7.4,36.70016
server4,7.6,36.41056
server4,7.8,38.5504
server4,8.0,42.34848
server4,8.2,41.28768
server4,8.4,58.23264
server4,8.6,36.70016
server4,8.8,38.66624
server4,9.0,41.94304
server4,9.2,41.71136
server4,9.4,41.51936
server4,9.6,36.70016
server4,9.8,36.70016
server4,10.0,38.31872
server4,10.2,42.29056
server4,10.4,41.94304
server4,10.6,19.6608
server4,10.8,38.03232
server4,11.0,36.70016
server4,11.2,38.66624
server4,11.4,41.94304
server4,11.6,41.94304
server4,11.8,41.28768
server4,12.0,55.05024
server4,12.2,36.0448
server4,12.4,39.3216
server4,12.6,41.47968
server4,12.8,41.09568
server4,13.0,37.9744
server4,13.2,55.05024
server4,13.4,38.66624
server4,13.6,41.94304
server4,13.8,41.28768
server4,14.0,39.3216
server4,14.2,36.70016
server4,14.4,54.39488
server4,14.6,41.98272
server4,14.8,41.94304
server4,15.0,41.28768
server4,15.2,36.70016
server4,15.4,36.70016
server4,15.6,38.66624
server4,15.8,20.97152
server4,16.0,40.23008
server4,16.2,41.40352
server4,16.4,39.55328
server4,16.6,36.0448
server4,16.8,21.06912
server4,17.0,41.94304
server4,17.2,20.624
server4,17.4,62.60672
server4,17.6,42.33024
server4,17.8,18.35008
server4,18.0,57.01632
server4,18.2,41.71136
server4,18.4,21.2032
server4,18.6,41.28768
server4,18.8,39.3216
server4,19.0,55.05024
server4,19.2,38.66624
server4,19.4,41.94304
server4,19.6,20.31616
server4,19.8,42.19616
server4,20.0,19.5664
server4,20.2,36.70016
server4,20.4,36.70016
server4,20.6,40.63232
server4,20.8,22.30368
server4,21.0,41.94304
server4,21.2,41.28768
server4,21.4,36.64224
server4,21.6,36.21856
server4,21.8,21.06912
server4,22.0,42.29056
server4,22.2,41.94304
server4,22.4,40.63232
server4,22.6,37.31904
server4,22.8,41.29088
server4,23.0,38.66624
server4,23.2,41.94304
server4,23.4,41.28768
server4,23.6,42.25408
server4,23.8,36.70016
server4,24.0,36.70016
server4,24.2,59.63776
server4,24.4,41.28768
server4,24.6,20.37408
server4,24.8,55.8032
server4,25.0,36.70016
server4,25.2,38.66624
server4,25.4,41.94304
server4,25.6,41.94304
server4,25.8,20.31616
server4,26.0,39.3216
server4,26.2,36.41056
server4,26.4,36.3344
server4,26.6,41.28768
server4,26.8,42.34848
server4,27.0,40.97984
server4,27.2,37.9744
server4,27.4,55.05024
server4,27.6,38.01088
server4,27.8,22.12992
server4,28.0,41.94304
server4,28.2,41.28768
server4,28.4,55.05024
server4,28.6,36.0448
server4,28.8,41.94304
server4,29.0,41.94304
server4,29.2,40.63232
server4,29.4,37.9744
server4,29.6,36.70016
server4,29.8,56.43712
server4,30.0,42.52224
server4,30.2,41.28768
server4,30.4,39.94048
server4,30.6,36.70016
server4,30.8,57.01632
server4,31.0,41.59552
server4,31.2,42.29056
server4,31.4,39.28512
server4,31.6,36.70016
server4,31.8,36.70016
server4,32.0,59.63776
server4,32.2,41.94304
server4,32.4,41.07744
server4,32.6,37.9744
server4,32.8,36.70016
server4,33.0,36.0448
server4,33.2,41.8272
server4,33.4,42.05888
server4,33.6,59.63776
server4,33.8,39.3216
server4,34.0,36.0448
server4,34.2,41.94304
server4,34.4,41.94304
server4,34.6,41.28768
server4,34.8,39.3216
server4,35.0,36.70016
server4,35.2,38.66624
server4,35.4,41.94304
server4,35.6,41.28768
server4,35.8,57.8272
server4,36.0,36.70016
server4,36.2,18.35008
server4,36.4,38.66624
server4,36.6,41.94304
server4,36.8,41.94304
server4,37.0,39.16928
server4,37.2,55.05024
server4,37.4,38.66624
server4,37.6,41.94304
server4,37.8,41.94304
server4,38.0,41.28768
server4,38.2,36.70016
server4,38.4,36.70016
server4,38.6,38.66624
server4,38.8,41.71136
server4,39.0,42.17472
server4,39.2,57.40352
server4,39.4,17.69472
server4,39.6,40.71168
server4,39.8,38.66624
server4,40.0,41.94304
server4,40.2,41.28768
server4,40.4,39.3216
server4,40.6,36.70016
server4,40.8,36.0448
server4,41.0,41.94304
server4,41.2,41.30592
server4,41.4,38.648
server4,41.6,56.32448
server4,41.8,36.70016
server4,42.0,38.66624
server4,42.2,41.94304
server4,42.4,41.94304
server4,42.6,38.66624
server4,42.8,36.70016
server4,43.0,57.01632
server4,43.2,39.3216
server4,43.4,41.94304
server4,43.6,41.28768
server4,43.8,36.70016
server4,44.0,36.70016
server4,44.2,59.63776
server4,44.4,41.94304
server4,44.6,20.97152
server4,44.8,59.63776
server4,45.0,36.70016
server5,0.2,70.67584
server5,0.4,20.68192
server5,0.6,0.65536
server5,0.8,0.65536
server5,1.0,0.71328
server5,1.2,0.82912
server5,1.4,0.71328
server5,1.6,0.65536
server5,1.8,0.65536
server5,2.0,16.384
server5,2.2,0.65536
server5,2.4,0.65536
server5,2.6,0.65536
server5,2.8,0.65536
server5,3.0,0.65536
server5,3.2,17.69472
server5,3.4,0.65536
server5,3.6,0.65536
server5,3.8,0.65536
server5,4.0,19.00544
server5,4.2,0.65536
server5,4.4,0.65536
server5,4.6,19.00544
server5,4.8,0.65536
server5,5.0,0.65536
server5,5.2,0.65536
server5,5.4,19.00544
server5,5.6,0.65536
server5,5.8,20.1424
server5,6.0,0.65536
server5,6.2,0.65536
server5,6.4,19.1792
server5,6.6,0.65536
server5,6.8,0.65536
server5,7.0,22.15136
server5,7.2,0.65536
server5,7.4,20.31616
server5,7.6,0.65536
server5,7.8,19.6608
