flow_id,src_ip,dst_ip,src_port,dst_port,tx_packets,rx_packets,time_first_tx,time_last_rx,fct_sec,rx_bytes
265,10.0.4.2,10.0.9.2,49161,9009,46677,46613,0.113200000,0.257275090,0.144075090,69532744
267,10.0.4.2,10.0.10.2,49162,9010,46659,46595,0.113300000,0.257551209,0.144251209,69531808
269,10.0.4.2,10.0.11.2,49163,9011,46571,46507,0.113400000,0.257954259,0.144554259,69527232
271,10.0.4.2,10.0.12.2,49164,9012,46535,46471,0.113500000,0.258118417,0.144618417,69525360
273,10.0.4.2,10.0.13.2,49165,9013,46506,46442,0.113600000,0.258243273,0.144643273,69523852
275,10.0.4.2,10.0.14.2,49166,9014,46531,46467,0.113700000,0.258261381,0.144561381,69525152
277,10.0.4.2,10.0.15.2,49167,9015,56728,56728,0.113800000,0.258730848,0.144930848,70058724
279,10.0.4.2,10.0.16.2,49168,9016,46702,46349,0.113900000,1.270451672,1.156551672,69519016
281,10.0.4.2,10.0.17.2,49169,9017,46766,46349,0.114000000,0.324136837,0.210136837,69519016
283,10.0.4.2,10.0.18.2,49170,9018,46776,46349,0.114100000,0.324378790,0.210278790,69519016
285,10.0.4.2,10.0.19.2,49171,9019,46777,46349,0.114200000,0.324535117,0.210335117,69519016
287,10.0.4.2,10.0.20.2,49172,9020,46800,46349,0.114300000,0.326997906,0.212697906,69519016
288,10.0.4.2,10.0.21.2,49173,9021,46764,46349,0.114400000,0.324848030,0.210448030,69519016
290,10.0.4.2,10.0.22.2,49174,9022,46769,46349,0.114500000,0.324966115,0.210466115,69519016
292,10.0.4.2,10.0.23.2,49175,9023,46768,46349,0.114600000,0.325101376,0.210501376,69519016
294,10.0.4.2,10.0.24.2,49176,9024,46769,46349,0.114700000,0.326075249,0.211375249,69519016
296,10.0.4.2,10.0.25.2,49177,9025,46659,46349,0.114800000,0.324476090,0.209676090,69519016
298,10.0.4.2,10.0.26.2,49178,9026,46780,46349,0.114900000,0.324348691,0.209448691,69519016
300,10.0.4.2,10.0.27.2,49179,9027,46772,46349,0.115000000,0.326485919,0.211485919,69519016
302,10.0.4.2,10.0.28.2,49180,9028,46647,46349,0.115100000,0.330494754,0.215394754,69519016
304,10.0.4.2,10.0.29.2,49181,9029,46774,46349,0.115200000,0.325858278,0.210658278,69519016
306,10.0.4.2,10.0.30.2,49182,9030,46730,46349,0.115300000,0.326075257,0.210775257,69519016
308,10.0.4.2,10.0.31.2,49183,9031,46771,46349,0.115400000,0.354375304,0.238975304,69519016
310,10.0.5.2,10.0.0.2,49153,9000,46625,46561,0.115500000,0.244626377,0.129126377,69530040
313,10.0.5.2,10.0.1.2,49154,9001,46619,46555,0.115600000,0.244632727,0.129032727,69529728
315,10.0.5.2,10.0.2.2,49155,9002,46601,46537,0.115700000,0.244636991,0.128936991,69528792
317,10.0.5.2,10.0.3.2,49156,9003,47040,46976,0.115800000,0.243560081,0.127760081,69568996
319,10.0.5.2,10.0.4.2,49157,9004,46670,46606,0.115900000,0.243699785,0.127799785,69532380
321,10.0.5.2,10.0.6.2,49158,9006,48393,48329,0.116000000,0.228113972,0.112113972,69639352
323,10.0.5.2,10.0.7.2,49159,9007,46783,46719,0.116100000,0.240269545,0.124169545,69555472
325,10.0.5.2,10.0.8.2,49160,9008,47030,46966,0.116200000,0.243124300,0.126924300,69568228
327,10.0.5.2,10.0.9.2,49161,9009,46710,46646,0.116300000,0.243673321,0.127373321,69551836
329,10.0.5.2,10.0.10.2,49162,9010,46945,46817,0.116400000,0.244202247,0.127802247,69577944
331,10.0.5.2,10.0.11.2,49163,9011,46795,46731,0.116500000,0.244377684,0.127877684,69556256
333,10.0.5.2,10.0.12.2,49164,9012,46753,46689,0.116600000,0.244514831,0.127914831,69553912
335,10.0.5.2,10.0.13.2,49165,9013,46715,46651,0.116700000,0.244592254,0.127892254,69552096
337,10.0.5.2,10.0.14.2,49166,9014,46699,46635,0.116800000,0.244620417,0.127820417,69551264
339,10.0.5.2,10.0.15.2,49167,9015,47275,47211,0.116900000,0.243833285,0.126933285,69581216
341,10.0.5.2,10.0.16.2,49168,9016,46768,46349,0.117000000,0.327524737,0.210524737,69519016
343,10.0.5.2,10.0.17.2,49169,9017,46787,46349,0.117100000,0.351091849,0.233991849,69519016
345,10.0.5.2,10.0.18.2,49170,9018,46648,46349,0.117200000,0.328512139,0.211312139,69519016
347,10.0.5.2,10.0.19.2,49171,9019,46769,46349,0.117300000,0.328095261,0.210795261,69519016
348,10.0.5.2,10.0.20.2,49172,9020,46635,46349,0.117400000,1.232296983,1.114896983,69519016
350,10.0.5.2,10.0.21.2,49173,9021,46762,46349,0.117500000,0.328374820,0.210874820,69519016
352,10.0.5.2,10.0.22.2,49174,9022,46801,46349,0.117600000,0.351189681,0.233589681,69519016
354,10.0.5.2,10.0.23.2,49175,9023,46589,46349,0.117700000,1.216093008,1.098393008,69519016
356,10.0.5.2,10.0.24.2,49176,9024,46813,46349,0.117800000,0.327753168,0.209953168,69519016
358,10.0.5.2,10.0.25.2,49177,9025,46771,46349,0.117900000,0.327845975,0.209945975,69519016
360,10.0.5.2,10.0.26.2,49178,9026,46591,46349,0.118000000,1.232285383,1.114285383,69519016
362,10.0.5.2,10.0.27.2,49179,9027,46713,46349,0.118100000,0.331256253,0.213156253,69519016
364,10.0.5.2,10.0.28.2,49180,9028,46721,46349,0.118200000,0.329195751,0.210995751,69519016
366,10.0.5.2,10.0.29.2,49181,9029,46665,46349,0.118300000,0.368995301,0.250695301,69519016
368,10.0.5.2,10.0.30.2,49182,9030,46677,46349,0.118400000,0.330897251,0.212497251,69519016
370,10.0.5.2,10.0.31.2,49183,9031,46598,46349,0.118500000,0.332591955,0.214091955,69519016
372,10.0.6.2,10.0.0.2,49153,9000,46673,46609,0.118600000,0.248563172,0.129963172,69532536
375,10.0.6.2,10.0.1.2,49154,9001,56728,56728,0.118700000,0.248805247,0.130105247,70058724
377,10.0.6.2,10.0.2.2,49155,9002,46689,46625,0.118800000,0.246936689,0.128136689,69547848
379,10.0.6.2,10.0.3.2,49156,9003,46685,46621,0.118900000,0.247056054,0.128156054,69538952
381,10.0.6.2,10.0.4.2,49157,9004,56728,56728,0.119000000,0.248870382,0.129870382,70058724
383,10.0.6.2,10.0.5.2,49158,9005,56728,56728,0.119100000,0.248827342,0.129727342,70058724
385,10.0.6.2,10.0.7.2,49159,9007,48103,48039,0.119200000,0.233644434,0.114444434,69624872
387,10.0.6.2,10.0.8.2,49160,9008,47102,47038,0.119300000,0.244716109,0.125416109,69572220
389,10.0.6.2,10.0.9.2,49161,9009,46783,46719,0.119400000,0.247010735,0.127610735,69555472
391,10.0.6.2,10.0.10.2,49162,9010,46677,46613,0.119500000,0.247619372,0.128119372,69532744
393,10.0.6.2,10.0.11.2,49163,9011,56728,56728,0.119600000,0.248402961,0.128802961,70058724
395,10.0.6.2,10.0.12.2,49164,9012,56728,56728,0.119700000,0.248570953,0.128870953,70058724
397,10.0.6.2,10.0.13.2,49165,9013,46765,46701,0.119800000,0.248351678,0.128551678,69554696
399,10.0.6.2,10.0.14.2,49166,9014,47391,47327,0.119900000,0.247074801,0.127174801,69587248
401,10.0.6.2,10.0.15.2,49167,9015,56728,56728,0.120000000,0.248790634,0.128790634,70058724
403,10.0.6.2,10.0.16.2,49168,9016,46586,46349,0.120100000,0.335062994,0.214962994,69519016
405,10.0.6.2,10.0.17.2,49169,9017,46715,46349,0.120200000,0.331016426,0.210816426,69519016
407,10.0.6.2,10.0.18.2,49170,9018,46718,46349,0.120300000,0.331452452,0.211152452,69519016
409,10.0.6.2,10.0.19.2,49171,9019,46502,46350,0.120400000,1.348225235,1.227825235,69519068
411,10.0.6.2,10.0.20.2,49172,9020,46723,46349,0.120500000,0.331505192,0.211005192,69519016
413,10.0.6.2,10.0.21.2,49173,9021,46712,46349,0.120600000,0.331642712,0.211042712,69519016
414,10.0.6.2,10.0.22.2,49174,9022,46712,46349,0.120700000,0.333289546,0.212589546,69519016
416,10.0.6.2,10.0.23.2,49175,9023,46779,46349,0.120800000,0.330673959,0.209873959,69519016
418,10.0.6.2,10.0.24.2,49176,9024,46723,46349,0.120900000,0.331568733,0.210668733,69519016
420,10.0.6.2,10.0.25.2,49177,9025,46540,46349,0.121000000,1.232747979,1.111747979,69519016
422,10.0.6.2,10.0.26.2,49178,9026,46534,46350,0.121100000,1.232448673,1.111348673,69519068
424,10.0.6.2,10.0.27.2,49179,9027,46673,46349,0.121200000,0.332312249,0.211112249,69519016
426,10.0.6.2,10.0.28.2,49180,9028,46661,46349,0.121300000,0.334647030,0.213347030,69519016
428,10.0.6.2,10.0.29.2,49181,9029,46683,46349,0.121400000,0.355605583,0.234205583,69519016
430,10.0.6.2,10.0.30.2,49182,9030,46623,46349,0.121500000,0.332623783,0.211123783,69519016
432,10.0.6.2,10.0.31.2,49183,9031,46551,46349,0.121600000,0.334794252,0.213194252,69519016
434,10.0.7.2,10.0.0.2,49153,9000,56728,56728,0.121700000,0.232457858,0.110757858,70058724
437,10.0.7.2,10.0.1.2,49154,9001,47183,47119,0.121800000,0.225915303,0.104115303,69577032
439,10.0.7.2,10.0.2.2,49155,9002,47438,47374,0.121900000,0.226099531,0.104199531,69589692
441,10.0.7.2,10.0.3.2,49156,9003,56728,56728,0.122000000,0.228099780,0.106099780,70058724
443,10.0.7.2,10.0.4.2,49157,9004,56728,56728,0.122100000,0.228213173,0.106113173,70058724
445,10.0.7.2,10.0.5.2,49158,9005,46598,46534,0.122200000,0.228015376,0.105815376,69528636
447,10.0.7.2,10.0.6.2,49159,9006,56728,56728,0.122300000,0.228264804,0.105964804,70058724
449,10.0.7.2,10.0.8.2,49160,9008,48797,48733,0.122400000,0.216006114,0.093606114,69659776
451,10.0.7.2,10.0.9.2,49161,9009,47086,47022,0.122500000,0.224721691,0.102221691,69571388
453,10.0.7.2,10.0.10.2,49162,9010,47042,46978,0.122600000,0.226423510,0.103823510,69569100
455,10.0.7.2,10.0.11.2,49163,9011,46921,46857,0.122700000,0.226923183,0.104223183,69563672
457,10.0.7.2,10.0.12.2,49164,9012,56748,56748,0.122800000,0.231849808,0.109049808,70059764
459,10.0.7.2,10.0.13.2,49165,9013,46801,46737,0.122900000,0.227375244,0.104475244,69556408
461,10.0.7.2,10.0.14.2,49166,9014,46763,46699,0.123000000,0.227506034,0.104506034,69554592
463,10.0.7.2,10.0.15.2,49167,9015,46733,46669,0.123100000,0.228685517,0.105585517,69553032
465,10.0.7.2,10.0.16.2,49168,9016,46707,46349,0.123200000,0.348123256,0.224923256,69519016
467,10.0.7.2,10.0.17.2,49169,9017,46704,46349,0.123300000,0.335411498,0.212111498,69519016
469,10.0.7.2,10.0.18.2,49170,9018,46509,46349,0.123400000,1.240121582,1.116721582,69519016
471,10.0.7.2,10.0.19.2,49171,9019,46468,46349,0.123500000,1.234469432,1.110969432,69519016
